resultId,raceId,driverId,constructorId,pitstops,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rankfast,fastestLapTime,fastestLapSpeed,statusId,status,driverRef,constructorRef,circuitId,name,year,circuitRef,
24028,1001,839,10,3,31,3,6,6,6,8,44,+1:19.520,5093996,35,6,01:48.1,233.298,1,Finished,ocon,force_india,13,Belgian Grand Prix,2018,spa,
24048,1002,839,10,1,31,8,7,7,6,8,53,57.761,4672245,48,12,01:24.2,247.555,1,Finished,ocon,force_india,14,Italian Grand Prix,2018,monza,
24082,1003,839,10,0,31,9,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4,Collision,ocon,force_india,15,Singapore Grand Prix,2018,marina_bay,
24091,1004,839,10,1,31,6,9,9,9,2,52,\N,\N,52,12,01:38.4,214.025,11,+1 Lap,ocon,force_india,71,Russian Grand Prix,2018,sochi,
24111,1005,839,10,1,31,11,9,9,9,2,53,+1:28.055,5325117,50,14,01:34.7,220.821,1,Finished,ocon,force_india,22,Japanese Grand Prix,2018,suzuka,
24141,1006,839,10,1,31,6,\N,D,19,0,56,\N,\N,\N,0,\N,\N,2,Disqualified,ocon,force_india,69,United States Grand Prix,2018,americas,
24153,1007,839,10,3,31,11,11,11,11,0,69,\N,\N,6,15,01:22.6,187.517,12,+2 Laps,ocon,force_india,32,Mexican Grand Prix,2018,rodriguez,
24177,1008,839,10,3,31,18,15,15,15,0,70,\N,\N,70,11,01:12.4,214.401,11,+1 Lap,ocon,force_india,18,Brazilian Grand Prix,2018,interlagos,
24199,1009,839,10,1,31,9,\N,R,17,0,44,\N,\N,41,13,01:43.6,193.012,5,Engine,ocon,force_india,24,Abu Dhabi Grand Prix,2018,yas_marina,
24633,1031,839,4,3,31,14,8,8,8,4,71,17.456,5473195,64,10,01:08.9,225.509,1,Finished,ocon,renault,70,Austrian Grand Prix,2020,red_bull_ring,
24663,1032,839,4,0,31,5,\N,R,18,0,25,\N,\N,22,18,01:09.3,224.243,25,Overheating,ocon,renault,70,Styrian Grand Prix,2020,red_bull_ring,
24679,1033,839,4,3,31,14,14,14,14,0,69,\N,\N,40,13,01:20.3,196.503,11,+1 Lap,ocon,renault,11,Hungarian Grand Prix,2020,hungaroring,
24691,1034,839,4,1,31,9,6,6,6,8,52,26.937,5308220,50,6,01:29.5,236.98,1,Finished,ocon,renault,9,British Grand Prix,2020,silverstone,
24713,1035,839,4,1,31,14,8,8,8,4,52,+1:04.773,4846766,50,10,01:30.6,234.144,1,Finished,ocon,renault,9,70th Anniversary Grand Prix,2020,silverstone,
24738,1036,839,4,1,31,15,13,13,13,0,65,\N,\N,65,10,01:22.2,203.933,11,+1 Lap,ocon,renault,4,Spanish Grand Prix,2020,catalunya,
24750,1037,839,4,1,31,6,5,5,5,10,44,40.65,5089411,44,10,01:48.5,232.305,1,Finished,ocon,renault,13,Belgian Grand Prix,2020,spa,
24773,1038,839,4,3,31,12,8,8,8,4,53,18.691,6444747,52,11,01:24.5,246.831,1,Finished,ocon,renault,14,Italian Grand Prix,2020,monza,
24799,1039,839,4,1,31,10,\N,R,14,0,7,\N,\N,6,15,02:11.8,143.27,23,Brakes,ocon,renault,76,Tuscan Grand Prix,2020,mugello,
24812,1040,839,4,1,31,7,7,7,7,6,53,+1:08.006,5708370,48,13,01:39.2,212.191,1,Finished,ocon,renault,71,Russian Grand Prix,2020,sochi,
24843,1041,839,4,0,31,7,\N,R,18,0,22,\N,\N,21,19,01:33.2,198.873,6,Gearbox,ocon,renault,20,Eifel Grand Prix,2020,nurburgring,
24853,1042,839,4,1,31,11,8,8,8,4,65,\N,\N,61,12,01:20.9,207.16,11,+1 Lap,ocon,renault,75,Portuguese Grand Prix,2020,portimao,
24884,1043,839,4,1,31,12,\N,R,19,0,27,\N,\N,22,19,01:19.6,221.998,6,Gearbox,ocon,renault,21,Emilia Romagna Grand Prix,2020,imola,
24896,1044,839,4,3,31,7,11,11,11,0,57,\N,\N,55,16,01:41.0,190.254,11,+1 Lap,ocon,renault,5,Turkish Grand Prix,2020,istanbul,
24914,1045,839,4,6,31,7,9,9,9,2,57,22.803,10810318,37,13,01:34.4,206.49,1,Finished,ocon,renault,3,Bahrain Grand Prix,2020,bahrain,
24927,1046,839,4,1,31,11,2,2,2,18,87,10.518,5485632,75,12,00:57.3,222.402,1,Finished,ocon,renault,3,Sakhir Grand Prix,2020,bahrain,
24954,1047,839,4,1,31,10,9,9,9,2,55,+1:41.069,5799996,47,18,01:42.9,194.32,1,Finished,ocon,renault,24,Abu Dhabi Grand Prix,2020,yas_marina,
