resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,circuitId
305,32,16,10,20,19,\N,R,17,0,49,\N,\N,38,18,01:49.3,166.936,3,15
306,32,17,9,10,13,\N,R,18,0,29,\N,\N,13,17,01:49.2,167.069,7,15
307,32,22,11,17,18,\N,R,19,0,14,\N,\N,13,19,01:50.3,165.348,26,15
308,32,12,4,6,16,\N,R,20,0,13,\N,\N,13,20,01:50.4,165.154,3,15
309,33,4,4,5,4,1,1,1,10,67,30:21.9,5421892,41,3,01:19.1,207.668,1,16
310,33,9,2,4,6,2,2,2,8,67,5.283,5427175,16,7,01:19.3,207.168,1,16
311,33,8,6,1,2,3,3,3,6,67,6.4,5428292,66,2,01:19.0,207.947,1,16
312,33,12,4,6,12,4,4,4,5,67,20.57,5442462,54,4,01:19.2,207.411,1,16
313,33,15,7,11,7,5,5,5,4,67,23.767,5445659,18,9,01:19.5,206.564,1,16
314,33,20,5,15,9,6,6,6,3,67,39.207,5461099,21,12,01:19.6,206.322,1,16
315,33,13,6,2,5,7,7,7,2,67,46.158,5468050,55,1,01:18.4,209.456,1,16
316,33,17,9,10,13,8,8,8,1,67,50.811,5472703,30,13,01:19.8,205.798,1,16
317,33,2,2,3,16,9,9,9,0,67,54.12,5476012,67,8,01:19.5,206.727,1,16
318,33,7,5,14,10,10,10,10,0,67,59.085,5480977,49,6,01:19.3,207.246,1,16
319,33,3,3,7,15,11,11,11,0,67,+1:02.096,5483988,66,10,01:19.5,206.545,1,16
320,33,1,1,22,1,12,12,12,0,67,+1:18.900,5500792,65,11,01:19.6,206.47,1,16
321,33,22,11,17,17,13,13,13,0,66,\N,\N,66,16,01:20.6,203.869,11,16
322,33,18,11,16,18,14,14,14,0,66,\N,\N,66,17,01:20.8,203.178,11,16
323,33,6,3,8,14,15,15,15,0,66,\N,\N,32,15,01:20.4,204.404,11,16
324,33,21,10,21,20,\N,R,16,0,21,\N,\N,20,19,01:21.6,201.365,6,16
325,33,5,1,23,3,\N,R,17,0,16,\N,\N,12,5,01:19.3,207.257,5,16
326,33,16,10,20,19,\N,R,18,0,8,\N,\N,6,18,01:21.2,202.327,27,16
327,33,10,7,12,8,\N,R,19,0,6,\N,\N,4,14,01:20.3,204.685,28,16
328,33,14,9,9,11,\N,R,20,0,0,\N,\N,\N,\N,\N,\N,4,16
329,34,1,1,22,1,1,1,1,10,56,31:57.4,5517403,13,1,01:36.3,203.722,1,17
330,34,13,6,2,3,2,2,2,8,56,14.925,5532328,36,4,01:36.6,203.161,1,17
331,34,8,6,1,2,3,3,3,6,56,16.445,5533848,14,2,01:36.5,203.389,1,17
332,34,4,4,5,4,4,4,4,5,56,18.37,5535773,56,5,01:36.7,203.018,1,17
