resultId,total_points_driver,average_col_acc
24918,636,0.04
24919,7,0.1
24920,308,0.01
24921,21,0.05
24922,77,0.05
24923,429,0.03
24924,136,0.08
24925,47,0.11
24926,429,0.03
24927,185,0.07
24928,136,0.08
24929,418.5,0.04
24930,458,0.04
24931,197,0
24932,69,0.08
24933,1022,0.04
24934,19,0.08
24935,306,0.05
24936,309,0.06
24937,636,0.04
24938,21,0.05
24939,308,0.01
24940,77,0.05
24941,0,0
24942,0,0
24943,7,0.1
24944,1136.5,0.09
24945,560,0.1
24946,1136.5,0.09
24947,1022,0.04
24948,1555.5,0.01
24949,197,0
24950,306,0.05
24951,418.5,0.04
24952,458,0.04
24953,309,0.06
24954,185,0.07
24955,136,0.08
24956,69,0.08
24957,308,0.01
24958,560,0.1
24959,636,0.04
24960,19,0.08
24961,21,0.05
24962,7,0.1
24963,77,0.05
24964,0,0
24965,429,0.03
24966,1555.5,0.01
24967,1136.5,0.09
24968,1022,0.04
24969,306,0.05
24970,429,0.03
24971,560,0.1
24972,458,0.04
24973,418.5,0.04
24974,32,0.05
24975,136,0.08
24976,308,0.01
24977,21,0.05
24978,185,0.07
24979,19,0.08
24980,636,0.04
24981,0,0.09
24982,309,0.06
24983,7,0.1
24984,131,0.05
24985,0,0.14
24986,1136.5,0.09
24987,1555.5,0.01
24988,306,0.05
24989,560,0.1
24990,418.5,0.04
24991,458,0.04
24992,309,0.06
24993,136,0.08
24994,185,0.07
24995,131,0.05
24996,429,0.03
24997,32,0.05
24998,308,0.01
24999,21,0.05
25000,636,0.04
25001,0,0.09
25002,0,0.14
25003,1022,0.04
25004,19,0.08
25005,7,0.1
25006,1555.5,0.01
25007,1136.5,0.09
25008,1022,0.04
25009,429,0.03
25010,306,0.05
25011,560,0.1
25012,185,0.07
25013,131,0.05
25014,458,0.04
25015,309,0.06
25016,418.5,0.04
25017,21,0.05
25018,636,0.04
25019,136,0.08
25020,32,0.05
25021,19,0.08
25022,0,0.09
25023,7,0.1
25024,0,0.14
25025,308,0.01
25026,1555.5,0.01
25027,1136.5,0.09
25028,1022,0.04
25029,560,0.1
25030,429,0.03
25031,458,0.04
25032,418.5,0.04
25033,306,0.05
25034,185,0.07
25035,309,0.06
25036,136,0.08
25037,308,0.01
25038,636,0.04
25039,19,0.08
25040,21,0.05
25041,7,0.1
25042,131,0.05
25043,0,0.09
25044,0,0.14
25045,32,0.05
25047,418.5,0.04
25046,1136.5,0.09
25048,306,0.05
25049,429,0.03
25050,636,0.04
25051,309,0.06
25052,1555.5,0.01
25053,136,0.08
25054,185,0.07
25055,21,0.05
25056,308,0.01
25057,458,0.04
25058,131,0.05
25059,19,0.08
25060,7,0.1
25061,32,0.05
25062,0,0.14
25063,0,0.09
25064,1022,0.04
25065,560,0.1
25066,429,0.03
25067,636,0.04
25068,309,0.06
25069,560,0.1
25070,306,0.05
25071,131,0.05
25072,32,0.05
25073,418.5,0.04
25074,458,0.04
25075,308,0.01
25076,21,0.05
25077,1022,0.04
25078,0,0.09
25079,0,0.14
25080,1555.5,0.01
25081,7,0.1
25082,19,0.08
25083,1136.5,0.09
25084,136,0.08
25085,185,0.07
25086,1136.5,0.09
25087,1555.5,0.01
25088,429,0.03
25089,1022,0.04
25090,306,0.05
25091,458,0.04
25092,309,0.06
25093,131,0.05
25094,636,0.04
25095,136,0.08
25096,418.5,0.04
25097,19,0.08
