,constructorId,positionOrder,circuitId,sumpoints
1099,210,12,14,0.0
856,51,14,14,0.0
662,9,6,14,8.0
958,131,1,14,25.0
1166,210,18,14,0.0
675,9,8,14,4.0
925,117,12,14,0.0
1124,210,15,14,0.0
885,51,16,14,0.0
0,1,1,14,27.0
1272,213,1,14,25.0
137,1,20,14,0.0
441,5,19,14,0.0
1244,211,12,14,0.0
1334,213,19,14,0.0
88,1,12,14,0.0
1356,214,8,14,4.0
454,6,1,14,25.0
462,6,2,14,18.0
1217,211,7,14,6.0
340,4,13,14,0.0
144,3,9,14,4.0
150,3,11,14,0.0
71,1,10,14,1.0
1301,213,9,14,2.0
1236,211,10,14,1.0
518,6,6,14,8.0
492,6,4,14,24.0
1371,214,10,14,1.0
146,3,10,14,1.0
557,6,13,14,0.0
1202,211,3,14,15.0
220,3,17,14,0.0
9,1,4,14,12.0
302,4,8,14,8.0
580,6,20,14,0.0
172,3,14,14,0.0
276,4,5,14,10.0
124,1,18,14,0.0
401,5,11,14,0.0
1,1,2,14,36.0
421,5,14,14,0.0
271,4,4,14,12.0
282,4,6,14,8.0
1339,213,20,14,0.0
572,6,18,14,0.0
476,6,3,15,15.0
200,3,16,15,0.0
427,5,15,15,0.0
663,9,6,15,16.0
381,5,8,15,4.0
750,10,16,15,0.0
503,6,5,15,10.0
1167,210,18,15,0.0
250,3,19,15,0.0
463,6,2,15,18.0
959,131,1,15,25.0
345,4,14,15,0.0
757,10,20,15,0.0
455,6,1,15,25.0
1250,211,13,15,0.0
415,5,13,15,0.0
1125,210,15,15,0.0
89,1,12,15,0.0
817,51,10,15,1.0
1265,211,19,15,0.0
261,3,20,15,0.0
433,5,17,15,0.0
1151,210,17,15,0.0
765,15,9,15,2.0
776,15,11,15,0.0
1091,210,11,15,0.0
898,51,18,15,0.0
602,9,2,15,18.0
1029,131,5,15,10.0
173,3,14,15,0.0
321,4,10,15,1.0
40,1,7,15,12.0
311,4,9,15,2.0
1018,131,4,15,24.0
303,4,8,15,4.0
618,9,3,15,15.0
174,3,14,17,0.0
312,4,9,17,2.0
41,1,7,17,6.0
221,3,17,17,0.0
1019,131,4,17,12.0
446,5,20,17,0.0
1108,210,13,17,0.0
442,5,19,17,0.0
535,6,8,17,4.0
1088,210,10,17,1.0
436,5,18,17,0.0
184,3,15,17,0.0
1245,211,12,17,0.0
104,1,14,17,0.0
1152,210,17,17,0.0
960,131,1,17,25.0
797,15,19,17,0.0
1223,211,8,17,4.0
98,1,13,17,0.0
810,51,9,17,2.0
283,4,6,17,8.0
789,15,16,17,0.0
664,9,6,17,9.0
743,10,12,17,0.0
367,4,20,17,0.0
652,9,5,17,10.0
201,3,16,17,0.0
587,9,1,17,25.0
739,10,11,17,0.0
634,9,4,17,12.0
504,6,5,17,10.0
477,6,3,17,30.0
125,1,18,17,0.0
293,4,7,17,6.0
1092,210,11,17,0.0
874,51,15,17,0.0
985,131,2,17,36.0
393,5,10,17,1.0
130,1,19,18,0.0
736,10,10,18,1.0
416,5,13,18,0.0
603,9,2,18,38.0
1109,210,13,18,0.0
105,1,14,18,0.0
402,5,11,18,0.0
568,6,17,18,0.0
284,4,6,18,8.0
573,6,18,18,0.0
747,10,15,18,0.0
588,9,1,18,25.0
372,5,2,18,18.0
120,1,17,18,0.0
3,1,3,18,15.0
1326,213,15,18,0.0
947,117,20,18,0.0
1040,131,7,18,6.0
394,5,10,18,1.0
759,15,7,18,6.0
202,3,16,18,0.0
1077,210,8,18,4.0
1030,131,5,18,10.0
857,51,14,18,0.0
478,6,3,18,15.0
1081,210,9,18,2.0
635,9,4,18,25.0
1168,210,18,18,0.0
238,3,18,18,0.0
72,1,10,18,1.0
519,6,6,18,17.0
334,4,12,18,0.0
1364,214,9,18,2.0
1231,211,9,18,2.0
53,1,8,18,4.0
921,117,11,18,0.0
505,6,5,18,10.0
1005,131,3,18,18.0
1093,210,11,18,0.0
1357,214,8,18,4.0
687,9,14,18,0.0
1266,211,19,18,0.0
799,15,20,18,0.0
348,4,15,18,0.0
800,51,4,18,12.0
1062,131,20,18,0.0
961,131,1,18,50.0
162,3,13,18,0.0
1290,213,7,18,6.0
836,51,12,18,0.0
801,51,5,18,10.0
359,4,19,18,0.0
1153,210,17,18,0.0
157,3,12,18,0.0
1327,213,15,20,0.0
175,3,14,20,0.0
818,51,10,20,1.0
354,4,18,20,0.0
1082,210,9,20,2.0
698,9,17,20,0.0
549,6,11,20,0.0
526,6,7,20,6.0
1206,211,4,20,12.0
1060,131,19,20,0.0
837,51,12,20,0.0
1224,211,8,20,4.0
962,131,1,20,25.0
262,3,20,20,0.0
1110,210,13,20,0.0
17,1,5,20,10.0
1286,213,6,20,8.0
267,4,3,20,15.0
117,1,16,20,0.0
604,9,2,20,19.0
1058,131,18,21,0.0
54,1,8,21,4.0
151,3,11,21,0.0
203,3,16,21,0.0
912,117,8,21,4.0
938,117,15,21,0.0
1372,214,10,21,1.0
858,51,14,21,0.0
1212,211,6,21,8.0
30,1,6,21,8.0
554,6,12,21,0.0
