resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,total_points_driver,average_col_acc
25310,1070,844,6,16,8,5,5,5,10,71,+1:21.037,6000123,63,9,01:20.7,192.083,1,560.00,0.10
25311,1070,832,6,55,6,6,6,6,8,70,\N,\N,63,5,01:20.1,193.484,11,418.50,0.04
25312,1070,20,117,5,9,7,7,7,6,70,\N,\N,70,6,01:20.5,192.572,11,636.00,0.04
25313,1070,8,51,7,10,8,8,8,4,70,\N,\N,63,11,01:20.7,191.969,11,308.00,0.01
25314,1070,4,214,14,12,9,9,9,2,70,\N,\N,54,10,01:20.7,191.973,11,131.00,0.05
25315,1070,846,1,4,18,10,10,10,1,70,\N,\N,67,8,01:20.6,192.197,11,306.00,0.05
25316,1070,841,51,99,11,11,11,11,0,70,\N,\N,68,16,01:21.5,190.061,11,21.00,0.05
25317,1070,817,1,3,7,12,12,12,0,70,\N,\N,40,13,01:21.1,191.126,11,458.00,0.04
25318,1070,839,214,31,19,13,13,13,0,70,\N,\N,67,14,01:21.3,190.47,11,185.00,0.07
25319,1070,840,117,18,20,14,14,14,0,69,\N,\N,61,12,01:20.9,191.454,12,136.00,0.08
25320,1070,822,131,77,1,15,15,15,0,69,\N,\N,69,1,01:17.8,199.223,12,1022.00,0.04
25321,1070,847,3,63,16,16,16,16,0,69,\N,\N,61,18,01:22.0,188.919,12,19.00,0.08
25322,1070,849,3,6,13,17,17,17,0,69,\N,\N,66,17,01:21.5,190.008,12,7.00,0.10
25323,1070,853,210,9,15,18,18,18,0,68,\N,\N,61,15,01:21.4,190.344,13, -   ,0.14
25324,1070,854,210,47,14,\N,R,19,0,0,\N,\N,\N,0,\N,\N,4, -   ,0.09
25325,1070,852,213,22,17,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4,32.00,0.05
25326,1071,1,131,44,10,1,1,1,25,71,32:22.9,5542851,46,2,01:12.0,215.503,1,1555.50,0.01
25327,1071,830,9,33,2,2,2,2,20,71,10.496,5553347,47,3,01:12.5,214.005,1,1136.50,0.09
25328,1071,822,131,77,1,3,3,3,18,71,13.576,5556427,49,4,01:12.5,213.887,1,1022.00,0.04
25329,1071,815,9,11,4,4,4,4,13,71,39.94,5582791,71,1,01:11.0,218.453,1,429.00,0.03
25330,1071,844,6,16,6,5,5,5,10,71,49.517,5592368,61,7,01:12.8,213.018,1,560.00,0.10
25331,1071,832,6,55,3,6,6,6,9,71,51.82,5594671,63,6,01:12.7,213.346,1,418.50,0.04
25332,1071,842,213,10,7,7,7,7,6,70,\N,\N,53,8,01:13.2,211.839,11,309.00,0.06
25333,1071,839,214,31,8,8,8,8,4,70,\N,\N,48,16,01:14.4,208.415,11,185.00,0.07
25334,1071,4,214,14,12,9,9,9,2,70,\N,\N,37,12,01:13.9,209.848,11,131.00,0.05
